residentId, residentAssignment, partnerId, partnerAssignment, residentAssignmentLocation, residentAssignmentRank, residentInitialPreferences, residentFinalPreferences, hasPartner, isAnchorPartner, partnerAssignmentLocation, partnerAssignmentRank, partnerInitialPreferences, partnerFinalPreferences
R0, H93, NA, NA, 9, 0, H93 H19 H99 H41 H84 H52 H10 H25 H24 H34 H23 H38 H28 H29 H9, H93 H19 H99 H41 H84 H52 H10 H25 H24 H34 H23 H38 H28 H29 H9, false, NA, NA, NA, NA, NA
R1, H39, NA, NA, 5, 1, H57 H39 H91 H79 H15 H4 H69 H74 H64 H68 H32 H86 H51 H54 H18, H57 H39 H91 H79 H15 H4 H69 H74 H64 H68 H32 H86 H51 H54 H18, false, NA, NA, NA, NA, NA
R2, H20, NA, NA, 1, 0, H20 H96 H25 H39 H35 H58 H60 H36 H5 H52 H83 H15 H27 H87 H11, H20 H96 H25 H39 H35 H58 H60 H36 H5 H52 H83 H15 H27 H87 H11, false, NA, NA, NA, NA, NA
R3, H0, NA, NA, 9, 2, H26 H10 H0 H60 H90 H47 H92 H50 H11 H22 H21 H37 H42 H5 H32, H26 H10 H0 H60 H90 H47 H92 H50 H11 H22 H21 H37 H42 H5 H32, false, NA, NA, NA, NA, NA
R4, H57, NA, NA, 5, 1, H55 H57 H90 H78 H1 H96 H83 H36 H14 H50 H2 H48 H62 H92 H70, H55 H57 H90 H78 H1 H96 H83 H36 H14 H50 H2 H48 H62 H92 H70, false, NA, NA, NA, NA, NA
R5, H56, R141, H46, 7, 11, H0 H35 H25 H46 H48 H54 H61 H9 H41 H63 H44 H56 H55 H95 H80, H0 H35 H25 H46 H48 H54 H61 H9 H41 H63 H44 H56 H55 H95 H80, true, false, 2, 11, H25 H57 H48 H0 H61 H41 H2 H35 H17 H68 H54 H46 H38, H25 H57 H48 H0 H61 H41 H2 H35 H17 H68 H54 H46 H38
R6, H2, R67, H54, 7, 8, H32 H47 H90 H96 H58 H88 H78 H24 H2 H9 H92 H91 H18 H20, H32 H47 H90 H96 H58 H88 H78 H24 H2 H9 H92 H91 H18 H20, true, false, 1, 8, H20 H90 H9 H24 H18 H91 H2 H70 H54 H88 H95 H98 H58 H43 H44, H20 H90 H9 H24 H18 H91 H2 H70 H54 H88 H95 H98 H58 H43 H44
R7, H78, NA, NA, 2, 1, H74 H78 H81 H73 H84 H35 H57 H90 H60 H42 H32 H5 H40 H27 H30, H74 H78 H81 H73 H84 H35 H57 H90 H60 H42 H32 H5 H40 H27 H30, false, NA, NA, NA, NA, NA
R8, H30, NA, NA, 0, 0, H30 H96 H5 H18 H84 H7 H68 H93 H86 H10 H51 H46 H66 H25 H6, H30 H96 H5 H18 H84 H7 H68 H93 H86 H10 H51 H46 H66 H25 H6, false, NA, NA, NA, NA, NA
R9, NO_MATCH, R45, NO_MATCH, -1, 2147483647, H90 H72 H63 H48 H58 H5 H18 H49 H4 H55 H39 H25 H60 H26, H90 H72 H63 H48 H58 H5 H18 H49 H4 H55 H39 H25 H60 H26, true, false, -1, 2147483647, H72 H48 H18 H25 H5 H4 H49 H43 H51 H17 H14 H37 H94 H9 H33, H72 H48 H18 H25 H5 H4 H49 H43 H51 H17 H14 H37 H94 H9 H33
R10, H14, NA, NA, 2, 0, H14 H28 H25 H61 H83 H34 H2 H98 H41 H9 H86 H3 H82 H5 H18, H14 H28 H25 H61 H83 H34 H2 H98 H41 H9 H86 H3 H82 H5 H18, false, NA, NA, NA, NA, NA
R11, H5, R68, H91, 1, 3, H40 H0 H91 H5 H73 H79 H32 H45 H21 H84 H6 H18 H3 H59, H40 H0 H91 H5 H73 H79 H32 H45 H21 H84 H6 H18 H3 H59, true, false, 5, 3, H5 H73 H40 H91 H45 H18 H79 H42 H37 H95 H65 H55 H64 H0 H19, H5 H73 H40 H91 H45 H18 H79 H42 H37 H95 H65 H55 H64 H0 H19
R12, H42, NA, NA, 1, 0, H42 H84 H15 H11 H94 H8 H78 H85 H68 H39 H32 H20 H93 H79 H44, H42 H84 H15 H11 H94 H8 H78 H85 H68 H39 H32 H20 H93 H79 H44, false, NA, NA, NA, NA, NA
R13, H38, NA, NA, 9, 0, H38 H41 H3 H72 H76 H45 H44 H90 H56 H70 H95 H9 H55 H35 H65, H38 H41 H3 H72 H76 H45 H44 H90 H56 H70 H95 H9 H55 H35 H65, false, NA, NA, NA, NA, NA
R14, H59, NA, NA, 1, 0, H59 H89 H34 H69 H68 H51 H54 H28 H40 H17 H32 H30 H23 H77 H22, H59 H89 H34 H69 H68 H51 H54 H28 H40 H17 H32 H30 H23 H77 H22, false, NA, NA, NA, NA, NA
R15, H22, NA, NA, 7, 3, H29 H35 H41 H22 H85 H24 H34 H53 H92 H50 H33 H48 H37 H7 H40, H29 H35 H41 H22 H85 H24 H34 H53 H92 H50 H33 H48 H37 H7 H40, false, NA, NA, NA, NA, NA
R16, H87, NA, NA, 1, 1, H69 H87 H31 H40 H72 H44 H96 H60 H3 H79 H29 H63 H71 H47 H89, H69 H87 H31 H40 H72 H44 H96 H60 H3 H79 H29 H63 H71 H47 H89, false, NA, NA, NA, NA, NA
