hospitalId, hospitalLocation, capacity, assignmentCount, filledPercentage, preferences, assignments, assignmentRanks
H0, 9, 3, 1, 0.33333334, R37 R67 R78 R10 R98 R45 R74 R73 R30 R2 R18 R57 R56 R85 R16, R57, 11
H1, 0, 4, 2, 0.5, R34 R51 R4 R62 R38 R85 R53 R37 R61 R36 R74 R26 R73 R15 R35, R85 R51, 5 1
H2, 4, 2, 1, 0.5, R61 R92 R64 R4 R19 R27 R17 R32 R21 R24 R5 R85 R88 R9 R6, R27, 5
H3, 6, 4, 3, 0.75, R79 R62 R39 R67 R26 R1 R38 R29 R27 R60 R73 R31 R30 R21 R71, R26 R79 R60, 4 0 9
H4, 0, 3, 1, 0.33333334, R27 R83 R66 R46 R92 R21 R3 R56 R28 R60 R52 R9 R20 R74 R45, R66, 2
H5, 1, 5, 2, 0.4, R6 R4 R57 R22 R71 R21 R87 R25 R82 R38 R64 R54 R90 R26 R12, R4 R21, 1 5
H6, 7, 4, 4, 1.0, R20 R44 R77 R60 R78 R42 R92 R63 R3 R64 R29 R45 R7 R43 R4, R45 R42 R77 R29, 11 5 2 10
H7, 5, 3, 1, 0.33333334, R41 R59 R81 R21 R87 R44 R90 R65 R46 R69 R61 R30 R5 R2 R74, R41, 0
H8, 1, 4, 2, 0.5, R22 R47 R36 R55 R38 R83 R20 R40 R89 R69 R64 R3 R43 R18 R41, R64 R40, 10 7
H9, 8, 3, 1, 0.33333334, R91 R65 R71 R4 R92 R25 R40 R94 R74 R28 R88 R14 R42 R31 R51, R25, 5
H10, 9, 4, 2, 0.5, R77 R42 R49 R92 R91 R72 R11 R20 R8 R60 R23 R55 R25 R6 R79, R23 R55, 10 11
H11, 1, 2, 2, 1.0, R41 R59 R34 R52 R75 R50 R12 R17 R93 R84 R24 R72 R94 R38 R74, R34 R59, 2 1
H12, 9, 2, 1, 0.5, R0 R70 R4 R72 R68 R97 R19 R5 R51 R62 R99 R87 R42 R91 R61, R0, 0
H13, 8, 3, 1, 0.33333334, R33 R56 R90 R37 R68 R57 R7 R8 R50 R38 R85 R18 R60 R15 R71, R38, 9
H14, 2, 3, 2, 0.6666667, R72 R34 R45 R63 R10 R82 R16 R39 R73 R51 R92 R37 R49 R36 R89, R49 R73, 12 8
H15, 3, 3, 2, 0.6666667, R97 R82 R94 R1 R88 R87 R7 R43 R66 R5 R47 R95 R62 R48 R90, R82 R95, 1 11
H16, 8, 3, 0, 0.0, R78 R1 R77 R23 R28 R84 R54 R73 R31 R94 R50 R17 R49 R61 R51, , 
H17, 4, 3, 1, 0.33333334, R76 R56 R48 R16 R32 R5 R55 R21 R87 R96 R82 R62 R12 R73 R41, R96, 9
H18, 0, 2, 1, 0.5, R88 R76 R92 R44 R79 R67 R13 R32 R21 R25 R26 R95 R66 R60 R16, R92, 2
H19, 7, 4, 2, 0.5, R98 R42 R13 R40 R6 R96 R41 R49 R44 R31 R0 R95 R29 R86 R78, R86 R31, 13 9
H20, 2, 2, 0, 0.0, R45 R52 R30 R88 R94 R51 R73 R98 R96 R64 R48 R35 R9 R1 R58, , 
H21, 6, 4, 1, 0.25, R28 R18 R66 R68 R12 R85 R8 R50 R93 R98 R63 R43 R15 R22 R11, R28, 0
H22, 2, 1, 1, 1.0, R13 R4 R34 R78 R8 R27 R23 R55 R30 R45 R92 R36 R40 R64 R83, R13, 0
H23, 6, 2, 2, 1.0, R94 R55 R0 R31 R87 R23 R80 R86 R52 R50 R53 R73 R22 R20 R27, R87 R50, 4 9
H24, 0, 5, 1, 0.2, R76 R54 R33 R69 R39 R68 R24 R97 R44 R75 R72 R95 R49 R58 R79, R39, 4
H25, 5, 1, 1, 1.0, R11 R25 R21 R81 R4 R39 R96 R62 R59 R44 R70 R94 R77 R41 R76, R94, 11
H26, 6, 2, 2, 1.0, R48 R19 R3 R42 R10 R87 R47 R56 R76 R90 R89 R66 R38 R22 R59, R3 R10, 2 4
H27, 6, 5, 0, 0.0, R98 R6 R14 R42 R53 R34 R85 R76 R17 R12 R99 R92 R27 R90 R36, , 
H28, 4, 1, 1, 1.0, R22 R9 R57 R32 R88 R19 R1 R46 R29 R58 R45 R91 R55 R85 R93, R32, 3
H29, 8, 1, 1, 1.0, R63 R32 R39 R7 R57 R99 R95 R49 R83 R41 R70 R10 R85 R79 R84, R63, 0
H30, 5, 2, 2, 1.0, R92 R19 R35 R99 R90 R26 R0 R31 R68 R9 R74 R17 R64 R28 R43, R99 R17, 3 11
H31, 8, 2, 1, 0.5, R92 R46 R3 R85 R86 R55 R71 R40 R20 R15 R27 R64 R22 R48 R8, R20, 8
H32, 0, 3, 1, 0.33333334, R72 R21 R32 R53 R95 R47 R36 R46 R19 R84 R50 R5 R8 R63 R83, R83, 14
H33, 0, 3, 3, 1.0, R43 R22 R17 R1 R19 R80 R12 R98 R25 R61 R40 R8 R29 R52 R76, R43 R98 R12, 0 7 6
H34, 1, 3, 1, 0.33333334, R76 R0 R39 R55 R80 R73 R95 R79 R49 R20 R54 R72 R36 R58 R16, R76, 0
H35, 3, 2, 2, 1.0, R25 R97 R23 R27 R89 R12 R77 R26 R66 R68 R92 R0 R60 R85 R16, R68 R16, 9 14
H36, 9, 5, 1, 0.2, R71 R59 R4 R99 R63 R56 R75 R41 R30 R32 R35 R6 R8 R12 R86, R56, 5
H37, 3, 4, 2, 0.5, R54 R74 R3 R17 R42 R26 R65 R29 R14 R83 R53 R77 R38 R66 R33, R74 R33, 1 14
