residentId, residentAssignment, partnerId, partnerAssignment, residentAssignmentLocation, residentAssignmentRank, residentInitialPreferences, residentFinalPreferences, hasPartner, isAnchorPartner, partnerAssignmentLocation, partnerAssignmentRank, partnerInitialPreferences, partnerFinalPreferences
R0, H23, R63, H21, 6, 1, H47 H30 H28 H44 H34 H48 H23 H12 H19 H38 H29 H21 H35, H44 H23 H21, true, false, 6, 1, H48 H19 H44 H28 H47 H21 H38 H29 H32 H36 H6 H40 H11 H25 H14, H44 H21
R1, H28, R9, H2, 4, 0, H28 H20 H7 H21 H45 H2 H10 H3 H15 H13 H33 H34 H41 H16 H43, H28 H20 H7 H21 H45 H2 H10 H3 H15 H13 H33 H34 H41 H16 H43, true, false, 4, 0, H28 H34 H26 H30 H45 H20 H5 H21 H7 H2 H27 H4 H10, H2
R2, H44, R6, H44, 6, 1, H15 H18 H7 H0 H46 H24 H5 H32 H25 H23 H39 H44 H41 H38, H23 H44 H41, true, false, 6, 0, H38 H0 H44 H41 H25 H18 H5 H36 H39 H19 H12 H27 H1 H10 H2, H44 H41 H27
R3, H6, R20, H6, 7, 0, H4 H23 H12 H29 H24 H6 H8 H26 H37 H44 H25 H31 H9 H27, H6 H8 H26 H37 H44 H25 H31 H9 H27, true, false, 7, 0, H23 H4 H12 H9 H8 H25 H27 H31 H42 H10 H0 H6 H48 H34 H24, H6
R4, H9, R61, H16, 8, 1, H33 H40 H2 H3 H16 H1 H36 H11 H6 H12 H5 H9 H25 H32 H22, H16 H9, true, false, 8, 0, H16 H36 H3 H12 H7 H33 H47 H40 H2 H1 H39 H21, H16 H36 H3 H12 H7 H33 H47 H40 H2 H1 H39 H21
R5, H38, R90, H5, 1, 1, H22 H15 H2 H13 H32 H17 H18 H43 H5 H39 H10 H38 H12 H7, H5 H38, true, false, 1, 0, H15 H7 H5 H38 H39 H22 H13 H0 H20 H30 H45 H27 H26 H16 H17, H5 H38 H39 H22 H13 H0 H20 H30 H45 H27 H26 H16 H17
R6, H44, R2, H44, 6, 0, H38 H0 H44 H41 H25 H18 H5 H36 H39 H19 H12 H27 H1 H10 H2, H44 H41 H27, true, true, 6, 1, H15 H18 H7 H0 H46 H24 H5 H32 H25 H23 H39 H44 H41 H38, H23 H44 H41
R7, H39, R78, H42, 9, 3, H6 H38 H10 H47 H19 H0 H16 H29 H12 H39 H13 H20 H32 H15 H40, H10 H0 H12 H39, true, false, 9, 0, H22 H42 H0 H6 H16 H47 H19 H20 H5 H37 H38 H10, H42 H0 H6 H16 H47 H19 H20 H5 H37 H38 H10
R8, H31, R71, H9, 8, 0, H31 H22 H9 H49 H36 H33 H13 H40 H21 H12 H1 H17 H10 H32 H43, H31 H22 H9 H49 H36 H33 H13 H40 H21 H12 H1 H17 H10 H32 H43, true, false, 8, 0, H33 H5 H3 H39 H41 H9 H13 H1 H49 H36 H31 H22, H9 H13 H31
R9, H2, R1, H28, 4, 0, H28 H34 H26 H30 H45 H20 H5 H21 H7 H2 H27 H4 H10, H2, true, false, 4, 0, H28 H20 H7 H21 H45 H2 H10 H3 H15 H13 H33 H34 H41 H16 H43, H28 H20 H7 H21 H45 H2 H10 H3 H15 H13 H33 H34 H41 H16 H43
